"","airline","avail_seat_km_per_week","incidents_85_99","fatal_accidents_85_99","fatalities_85_99","incidents_00_14","fatal_accidents_00_14","fatalities_00_14"
"1","COPA",550491507,3,1,47,0,0,0
"2","Air Canada",1865253802,2,0,0,2,0,0
"3","Aeroflot*",1197672318,76,14,128,6,1,88
"4","US Airways / America West*",2455687887,16,7,224,11,2,23
"5","China Airlines",813216487,12,6,535,2,1,225
"6","Gulf Air",301379762,1,0,0,3,1,143
"7","Philippine Airlines",413007158,7,4,74,2,1,1
"8","Avianca",396922563,5,3,323,0,0,0
"9","Finnair",506464950,1,0,0,0,0,0
"10","Condor",417982610,2,1,16,0,0,0
"11","Lufthansa*",3426529504,6,1,2,3,0,0
"12","Turkish Airlines",1946098294,8,3,64,8,2,84
"13","Air New Zealand*",710174817,3,0,0,5,1,7
"14","All Nippon Airways",1841234177,3,1,1,7,0,0
"15","Aer Lingus",320906734,2,0,0,0,0,0
